disease,data_type,count,type,taxon,mesh
CRC,Amplicon,2,Intestinal,genus,D015179
CRC,Metagenomics,7,Intestinal,genus,D015179
CRC,Metagenomics,7,Intestinal,species,D015179
T2D,Metagenomics,2,Metabolic,genus,D003924
T2D,Metagenomics,2,Metabolic,species,D003924
T2D,Amplicon,4,Metabolic,genus,D003924
Obesity,Metagenomics,2,Metabolic,genus,D009765
Obesity,Metagenomics,2,Metabolic,species,D009765
Overweight,Metagenomics,2,Metabolic,genus,D050177
Overweight,Metagenomics,2,Metabolic,species,D050177
Adenoma,Metagenomics,3,Intestinal,genus,D000236
Adenoma,Metagenomics,3,Intestinal,species,D000236
CDI,Amplicon,2,Intestinal,genus,D003015
AD,Amplicon,4,Mental,genus,D000544
MCI,Amplicon,2,Mental,genus,D060825
PD,Amplicon,6,Mental,genus,D010300
PD,Metagenomics,2,Mental,genus,D010300
PD,Metagenomics,2,Mental,species,D010300
RA,Metagenomics,3,Autoimmune,genus,D001172
RA,Metagenomics,3,Autoimmune,species,D001172
RA,Amplicon,2,Autoimmune,genus,D001172
MS,Amplicon,2,Autoimmune,genus,D009103
ASD,Amplicon,6,Mental,genus,D000067877
ASD,Metagenomics,4,Mental,species,D000067877
ASD,Metagenomics,4,Mental,genus,D000067877
CD,Metagenomics,5,Intestinal,species,D003424
CD,Metagenomics,5,Intestinal,genus,D003424
CD,Amplicon,3,Intestinal,genus,D003424
UC,Metagenomics,3,Intestinal,species,D003093
UC,Metagenomics,3,Intestinal,genus,D003093
UC,Amplicon,3,Intestinal,genus,D003093
IBD,Metagenomics,2,Intestinal,species,D015212
IBD,Metagenomics,2,Intestinal,genus,D015212
AS,Metagenomics,2,Autoimmune,species,D013167
AS,Metagenomics,2,Autoimmune,genus,D013167
IBS,Amplicon,3,Intestinal,genus,D043183
CFS,Amplicon,2,Mental,genus,D015673
JA,Amplicon,2,Autoimmune,genus,D001171
NAFLD,Amplicon,3,Liver,genus,D065626
